,Store Name,Street Address,Borough,Year Awarded,Council District,NTA,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Code
39,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
40,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
41,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
42,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
43,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
44,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
45,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
46,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
47,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25901.0,4003.0,BK75
48,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,25902.0,4003.0,BK75
49,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26100.0,4003.0,BK75
50,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26300.0,4003.0,BK75
51,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26500.0,4003.0,BK75
52,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26700.0,4003.0,BK75
53,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,26900.0,4003.0,BK75
54,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,50700.0,4003.0,BK75
55,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,53100.0,4003.0,BK75
56,194 THROOP FOOD CORP,777 PARK AVE,Brooklyn,2020.0,36.0,Bedford,47.0,3.0,123700.0,4003.0,BK75
57,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,23300.0,4003.0,BK75
58,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24100.0,4003.0,BK75
59,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24300.0,4003.0,BK75
60,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24500.0,4003.0,BK75
61,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,24900.0,4003.0,BK75
62,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25100.0,4003.0,BK75
63,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25300.0,4003.0,BK75
64,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25500.0,4003.0,BK75
65,LEE HEYWARD GROCERY INC,198 LEE AVE,Brooklyn,2020.0,33.0,Bedford,47.0,3.0,25700.0,4003.0,BK75
